"Date","forecast_US_covid","forecast_US_economic","forecast_US_health","forecast_US_response","forecast_US_stringency"
2021-10-11,78012.116355928,87.5461159493455,99.3166963441242,97.8443921198279,88.9879923608513
2021-10-12,78193.1258540989,87.6350189080659,99.380670694686,97.9114836328842,89.0496973380336
2021-10-13,78369.4641992456,87.721824157922,99.4434545821332,97.9772712412794,89.1098901956314
2021-10-14,78541.2243859621,87.8065881870603,99.5050850818449,98.0417944477049,89.1686183956327
2021-10-15,78708.4988218013,87.8893664848087,99.5655983838393,98.1050918553095,89.2259282946593
2021-10-16,78871.3792757205,87.9702135379997,99.625029803142,98.1672011763109,89.2818651555213
2021-10-17,79029.9568293926,88.0491828285238,99.6834137905038,98.2281592410679,89.3364731592873
2021-10-18,79184.3218312693,88.1263268320541,99.7407839434402,98.288002007579,89.3897954178342
2021-10-19,79334.5638533636,88.2016970178765,99.797173017562,98.3467645713749,89.4418739868331
2021-10-20,79480.7716506497,88.275343849772,99.8526129381706,98.4044811757744,89.4927498791381
2021-10-21,79623.0331230039,88.3473167878923,99.9071348120933,98.4611852224734,89.5424630785416
2021-10-22,79761.4352796307,88.4176642915739,99.9607689397312,98.5169092824387,89.5910525538615
2021-10-23,79896.064205871,88.4864338230401,100.013544827298,98.5716851070782,89.6385562733287
2021-10-24,80027.0050323598,88.5536718519369,100.065491199223,98.625543639662,89.6850112192438
2021-10-25,80154.3419064164,88.6194238606567,100.116636010705,98.6785150269692,89.7304534028725
2021-10-26,80278.1579656108,88.6837343504022,100.167006460387,98.7306286311366,89.774917879553
2021-10-27,80398.5353134576,88.7466468479423,100.21662900313,98.781913041684,89.8184387639864
2021-10-28,80515.554997132,88.8082039130192,100.265529362889,98.8323960876981,89.8610492456856
2021-10-29,80629.2969871493,88.8684471463638,100.313732545638,98.8821048501503,89.9027816045579
2021-10-30,80739.840158955,88.9274171982763,100.361262852355,98.9310656743303,89.9436672265978
2021-10-31,80847.2622763261,88.985153777738,100.408143892048,98.9793041823766,89.983736619667
2021-11-01,80951.6399765488,89.0416956620101,100.454398594783,99.0268452858838,90.0230194293419
2021-11-02,81053.0487572911,89.0970807066895,100.500049224733,99.0737131985719,90.0615444548069
2021-11-03,81151.5629650961,89.1513458561828,100.545117393212,99.1199314489993,90.0993396647747
2021-11-04,81247.2557854583,89.2045271545673,100.589624071681,99.1655228933049,90.136432213417
2021-11-05,81340.1992343891,89.2566597568066,100.633589604727,99.2105097279643,90.1728484562862
2021-11-06,81430.4641514423,89.3077779402895,100.677033722993,99.2549135025448,90.2086139662132
2021-11-07,81518.120194119,89.3579151166633,100.719975556051,99.2987551324483,90.2437535491651
2021-11-08,81603.2358335895,89.4071038439347,100.762433645204,99.3420549116278,90.2782912600504
2021-11-09,81685.8783517016,89.4553758388088,100.804425956216,99.3848325252658,90.3122504184539
2021-11-10,81766.1138391855,89.502761989243,100.845969891948,99.4271070624036,90.3456536242935
2021-11-11,81844.0071950326,89.5492923671893,100.887082304911,99.4688970285115,90.3785227733825
2021-11-12,81919.6221269567,89.5949962415042,100.927779509699,99.5102203579894,90.4108790728894
2021-11-13,81993.021152936,89.6399020909996,100.968077295327,99.5510944265874,90.4427430566813
2021-11-14,82064.2656037411,89.6840376176174,101.007990937443,99.5915360637403,90.4741346005438
2021-11-15,82133.4156264182,89.7274297597058,101.047535210415,99.6315615648054,90.5050729372671
2021-11-16,82200.5301886776,89.7701047053777,101.086724399295,99.6711867031971,90.5355766715887
2021-11-17,82265.6670841428,89.8120879059335,101.125572311638,99.7104267424106,90.5656637949866
2021-11-18,82328.8829384066,89.8534040893304,101.164092289194,99.7492964479295,90.5953517003141
2021-11-19,82390.2332158696,89.8940772736812,101.202297219435,99.7878100990078,90.624657196269
