"Date","forecast_Sing_covid","forecast_Sing_covid_low_80","forecast_Sing_covid_high_80","forecast_Sing_covid_low_95","forecast_Sing_covid_high_95"
2021-10-17,53.6574664487519,-190.361273288369,297.676206185873,-319.536991188517,426.85192408602
2021-10-18,53.4450113365705,-190.618680417213,297.508703090354,-319.818194477564,426.708217150705
2021-10-19,53.2424740573029,-190.865602496728,297.350550611334,-320.088612451051,426.573560565657
2021-10-20,53.0497025791255,-191.102201737933,297.201606896184,-320.348412708535,426.447817866786
2021-10-21,52.8665443482776,-191.32864005766,297.061728754215,-320.597762123359,426.330850819915
2021-10-22,52.6928463839595,-191.545079038546,296.930771806465,-320.8368268317,426.222519599619
2021-10-23,52.5284553700676,-191.751679889831,296.808590629966,-321.065772221168,426.122682961303
2021-10-24,52.3732177429512,-191.94860340983,296.695038895732,-321.284762919881,426.031198405783
2021-10-25,52.2269797777943,-192.136009947549,296.589969503137,-321.493962783479,425.947922339067
2021-10-26,52.0895876709187,-192.314059366201,296.493234708039,-321.693534882899,425.872710224736
2021-10-27,51.9608876197959,-192.482911006899,296.40468624649,-321.883641491201,425.805416730793
2021-10-28,51.8407259006905,-192.642723652652,296.324175454033,-322.064444069617,425.745895870998
2021-10-29,51.7289489429447,-192.793655493741,296.25155337963,-322.236103253902,425.694001139791
2021-10-30,51.6254034010975,-192.935864093298,296.186670895493,-322.398778839894,425.649585642089
2021-10-31,51.5299362244627,-193.069506353568,296.129378802494,-322.552629768727,425.612502217653
2021-11-01,51.4423947241649,-193.194738482876,296.079527931205,-322.69781411181,425.582603560139
2021-11-02,51.3626266378108,-193.311715963193,296.036969238814,-322.834489055457,425.559742331078
2021-11-03,51.290480192208,-193.420593517953,296.001553902369,-322.962810884864,425.54377126928
2021-11-04,51.2258041629422,-193.521525081347,295.973133407232,-323.082934968694,425.534543294578
2021-11-05,51.168447932466,-193.614663767513,295.951559632445,-323.195015742697,425.531911607629
2021-11-06,51.1182615456752,-193.700161840684,295.936684932034,-323.299206693485,425.535729784836
2021-11-07,51.0750957635535,-193.778170685779,295.928362212886,-323.395660341952,425.545851869059
2021-11-08,51.038802114317,-193.848840780056,295.92644500869,-323.484528226988,425.562132455622
2021-11-09,51.0092329433688,-193.912321664556,295.930787551293,-323.565960888257,425.584426774994
2021-11-10,50.9862414601664,-193.968761917304,295.941244837637,-323.640107850021,425.612590770354
2021-11-11,50.9696817841616,-194.018309126142,295.957672694466,-323.707117603909,425.646481172232
2021-11-12,50.9594089883113,-194.061109862754,295.979927839376,-323.767137592222,425.685955568845
2021-11-13,50.9552791407058,-194.097309657372,296.007867938783,-323.820314191297,425.730872472709
2021-11-14,50.957149344736,-194.127052973808,296.04135166328,-323.866792694572,425.781091384044
2021-11-15,50.9648777772776,-194.150483185361,296.080238739917,-323.906717295959,425.836472850514
2021-11-16,50.9783237251148,-194.16774255143,296.12439000166,-323.940231073354,425.896878523584
2021-11-17,50.9973476199552,-194.178972194522,296.173667434432,-323.967475972019,425.962171211929
2021-11-18,51.0218110713333,-194.184312078405,296.227934221072,-323.988592788577,426.032214931244
2021-11-19,51.0515768984656,-194.183900986385,296.287054783316,-324.003721154656,426.106874951588
