"Date","forecast_US_stringency","forecast_US_stringency_low_80","forecast_US_stringency_high_80","forecast_US_stringency_low_95","forecast_US_stringency_high_95"
2021-09-25,87.7519076944416,69.523692861028,105.980122527855,59.874258806574,115.629556582309
2021-09-26,87.8451976873648,69.5994881415647,106.090907233165,59.9407929457967,115.749602428933
2021-09-27,87.9360591322884,69.6726442215664,106.19947404301,60.004576371768,115.867541892809
2021-09-28,88.0245581435228,69.743225747544,106.305890539502,60.0656729539928,115.983443333053
2021-09-29,88.1107596551651,69.8112969992776,106.410222311053,60.1241466258769,116.097372684453
2021-09-30,88.1947274174289,69.8769218300507,106.512533004807,60.1800612952655,116.209393539592
2021-10-01,88.2765239943912,69.9401636103215,106.612884378461,60.2334807594891,116.319567229293
2021-10-02,88.3562107630819,70.001085174765,106.711336351399,60.2844686248537,116.42795290131
2021-10-03,88.4338479138495,70.0597487726212,106.807947055078,60.3330882305105,116.534607597188
2021-10-04,88.5094944519304,70.1162160212697,106.902772882591,60.379402576624,116.639586327237
2021-10-05,88.583208200162,70.1705478629606,106.995868537363,60.4234742567618,116.742942143562
2021-10-06,88.6550458027714,70.2228045246176,107.087287080925,60.4653653944127,116.84472621113
2021-10-07,88.7250627301823,70.2730454806344,107.17707997973,60.505137583544,116.944987876821
2021-10-08,88.7933132847802,70.3213294185777,107.265297150983,60.5428518330972,117.043774736463
2021-10-09,88.8598506075792,70.3677142077119,107.351987007446,60.5785685153209,117.141132699837
2021-10-10,88.9247266857347,70.4122568702542,107.437196501215,60.6123473178334,117.237106053636
2021-10-11,88.9879923608513,70.4550135552743,107.520971166428,60.6442471993065,117.331737522396
2021-10-12,89.0496973380336,70.4960395151452,107.603355160922,60.6743263486596,117.425068327408
2021-10-13,89.1098901956314,70.5353890844533,107.684391306809,60.702642147647,117.517138243616
2021-10-14,89.1686183956327,70.5731156612791,107.764121129986,60.7292511367265,117.607985654539
2021-10-15,89.2259282946593,70.609271690752,107.842584898567,60.7542089840888,117.69764760523
2021-10-16,89.2818651555213,70.6439086507912,107.919821660251,60.7775704577331,117.786159853309
2021-10-17,89.3364731592873,70.6770770399369,107.995869278638,60.7993894004673,117.873556918107
2021-10-18,89.3897954178342,70.7088263671855,108.070764468483,60.8197187077179,117.959872127951
2021-10-19,89.4418739868331,70.7392051437327,108.144542829933,60.8386103080292,118.045137665637
2021-10-20,89.4927498791381,70.7682608765409,108.217238881735,60.8561151461367,118.129384612139
2021-10-21,89.5424630785416,70.7960400636386,108.288886093445,60.8722831684973,118.212642988586
2021-10-22,89.5910525538615,70.8225881910668,108.359516916656,60.8871633111614,118.294941796562
2021-10-23,89.6385562733287,70.847949731387,108.42916281527,60.9008034898752,118.376309056782
