"Date","forecast_UK_response","forecast_UK_response_low_80","forecast_UK_response_high_80","forecast_UK_response_low_95","forecast_UK_response_high_95"
2021-10-08,63.626940779274,45.3888791548855,81.8650024036624,35.7342325241574,91.5196490343905
2021-10-09,63.6185078567267,45.328916980342,81.9080987331113,35.6469924113431,91.5900233021102
2021-10-10,63.6104953302296,45.2700981396134,81.9508925208459,35.5612783324791,91.6597123279801
2021-10-11,63.6029002600691,45.2124127026572,81.9933878174809,35.4770766570665,91.7287238630716
2021-10-12,63.5957196272127,45.1558507021007,82.0355885523248,35.3943737395032,91.7970655149223
2021-10-13,63.5889503361841,45.1004021350938,82.0774985372744,35.3131559203965,91.8647447519717
2021-10-14,63.5825892178905,45.0460569651683,82.1191214706127,35.2334095279093,91.9317689078717
2021-10-15,63.5766330324204,44.9928051241176,82.1604609407232,35.1551208791538,91.9981451856871
2021-10-16,63.5710784718,44.9406365138882,82.2015204297117,35.0782762816253,92.0638806619746
2021-10-17,63.5659221627108,44.8895410084799,82.2423033169418,35.00286203467,92.1289822907516
2021-10-18,63.5611606691709,44.8395084558617,82.2828128824801,34.9288644309954,92.1934569073464
2021-10-19,63.5567904951726,44.7905286798904,82.3230523104548,34.8562697582079,92.2573112321373
2021-10-20,63.5528080872816,44.7425914822388,82.3630246923245,34.7850643003866,92.3205518741767
2021-10-21,63.5492098371945,44.695686644328,82.4027330300611,34.7152343396842,92.3831853347049
2021-10-22,63.5459920842553,44.6498039292634,82.4421802392472,34.6467661579556,92.4452180105549
2021-10-23,63.5431511179284,44.6049330837715,82.4813691520853,34.5796460384111,92.5066561974457
2021-10-24,63.5406831802321,44.5610638401394,82.5203025203248,34.5138602672942,92.56750609317
2021-10-25,63.5385844681284,44.5181859181502,82.5589830181067,34.4493951355765,92.6277738006803
2021-10-26,63.5368511358663,44.4762890270146,82.5974132447181,34.3862369406718,92.6874653310608
2021-10-27,63.5354792972886,44.4353628673029,82.6355957272743,34.3243719881689,92.7465866064083
2021-10-28,63.534465028095,44.3953971328701,82.6735329233198,34.2637865935782,92.8051434626117
2021-10-29,63.5338043680576,44.3563815127709,82.7112272233443,34.2044670840878,92.8631416520275
2021-10-30,63.5334933231998,44.318305693172,82.7486809532276,34.1463998003341,92.9205868460654
2021-10-31,63.5335278679275,44.2811593592491,82.785896376606,34.0895710981758,92.9774846376792
2021-11-01,63.5339039471199,44.2449321970783,82.8228756971615,34.0339673504786,93.0338405437611
2021-11-02,63.5346174781798,44.2096138955147,82.8596210608449,33.9795749489037,93.0896600074559
2021-11-03,63.5356643530376,44.1751941480565,82.8961345580188,33.9263803056973,93.144948400378
2021-11-04,63.5370404401161,44.1416626546964,82.9324182255358,33.8743698554826,93.1997110247496
2021-11-05,63.5387415862527,44.1090091237591,82.9684740487464,33.8235300570519,93.2539531154535
2021-11-06,63.5407636185784,44.0772232737196,83.0043039634371,33.7738473951533,93.3076798420034
2021-11-07,63.5431023463599,44.0462948350113,83.0399098577086,33.7253083822797,93.3608963104402
2021-11-08,63.5457535627951,44.0162135518088,83.0752935737815,33.6778995604467,93.4136075651436
2021-11-09,63.5487130467701,43.9869691837949,83.1104569097453,33.6316075029632,93.465818590577
2021-11-10,63.5519765645779,43.9585515079116,83.1454016212441,33.5864188162002,93.5175343129555
2021-11-11,63.5555398715955,43.9309503200878,83.1801294231033,33.5423201413454,93.5687596018457
2021-11-12,63.5593987139212,43.904155436946,83.2146419908963,33.4992981561464,93.6194992716959
2021-11-13,63.5635488299739,43.8781566974904,83.2489409624574,33.4573395766459,93.6697580833019
2021-11-14,63.5679859520504,43.8529439647673,83.2830279393334,33.4164311588969,93.7195407452038
2021-11-15,63.5727058078478,43.8285071275086,83.316904488187,33.3765597006693,93.7688519150263
2021-11-16,63.5777041219463,43.8048361017471,83.3505721421454,33.3377120431372,93.8176962007553
2021-11-17,63.5829766172562,43.7819208324134,83.3840324020991,33.2998750725531,93.8660781619594
2021-11-18,63.5885190164265,43.7597512949033,83.4172867379497,33.263035721901,93.914002310952
2021-11-19,63.5943270432158,43.7383174966225,83.450336589809,33.2271809725321,93.9614731138994
