"Date","forecast_UK_covid","forecast_UK_economic","forecast_UK_health","forecast_UK_response","forecast_UK_stringency"
2021-09-12,11162.2468861758,86.1681559013211,60.8343172207154,64.0010724549124,61.3877941479563
2021-09-13,11166.46915484,86.1285129990176,60.8170540855797,63.9810092916828,61.3875593920535
2021-09-14,11170.2011356572,86.0901413479667,60.8001337875954,63.9614051104516,61.3876032114224
2021-09-15,11173.459276173,86.0530267457127,60.7835585897153,63.9422601143603,61.3879266032737
2021-09-16,11176.2596303728,86.0171549867992,60.7673305727682,63.9235743468314,61.388530419053
2021-09-17,11178.6178662645,85.9825118663617,60.751451638297,63.9053476945006,61.3894153663553
2021-09-18,11180.549273352,85.9490831836319,60.7359235114647,63.8875798901984,61.3905820109521
2021-09-19,11182.0687700147,85.9168547453552,60.7207477440278,63.8702705159794,61.392030778917
2021-09-20,11183.1909107885,85.8858123691226,60.7059257173702,63.853419006194,61.3937619588427
2021-09-21,11183.9298935436,85.8559418866181,60.6914586455869,63.8370246505923,61.3957757041399
2021-09-22,11184.2995665575,85.8272291467819,60.6773475786087,63.8210865974545,61.398072035412
2021-09-23,11184.3134354903,85.7996600188916,60.6635934053694,63.8056038567471,61.4006508428952
2021-09-24,11183.9846702499,85.7732203955623,60.6501968569984,63.7905753032916,61.4035118889589
2021-09-25,11183.3261117527,85.7478961956655,60.6371585100398,63.7759996799469,61.4066548106593
2021-09-26,11182.3502785959,85.7236733671732,60.6244787896998,63.7618756008059,61.4100791223352
2021-09-27,11181.0693736143,85.700537889921,60.6121579731017,63.7482015543887,61.4137842182459
2021-09-28,11179.4952903324,85.6784757782959,60.6001961925525,63.7349759068379,61.4177693752441
2021-09-29,11177.6396193202,85.6574730838503,60.5885934388181,63.7221969051111,61.422033755475
2021-09-30,11175.5136544526,85.6375158978424,60.577349564404,63.7098626801678,61.4265764090977
2021-10-01,11173.1283990435,85.618590353701,60.5664642868226,63.6979712501383,61.4313962770299
2021-10-02,11170.4945719075,85.6006826294241,60.5559371918706,63.6865205234899,61.4364921937006
2021-10-03,11167.622613304,85.5837789499041,60.5457677368879,63.6755083021698,61.4418628898152
2021-10-04,11164.5226907842,85.567865589185,60.5359552540083,63.6649322847313,61.4475069951257
2021-10-05,11161.2047049431,85.5529288726524,60.5264989533957,63.6547900694391,61.4534230412023
2021-10-06,11157.6782950661,85.5389551791563,60.517397926461,63.6450791573497,61.4596094642043
2021-10-07,11153.952844681,85.5259309430694,60.5086511490606,63.6357969553673,61.4660646076454
2021-10-08,11150.0374870187,85.5138426562814,60.5002574846753,63.626940779274,61.4727867251494
2021-10-09,11145.9411103668,85.5026768701294,60.4922156875587,63.6185078567267,61.4797739831978
2021-10-10,11141.6723633433,85.4924201972685,60.4845244058676,63.6104953302296,61.4870244638598
2021-10-11,11137.2396600641,85.4830593134797,60.4771821847583,63.6029002600691,61.4945361675094
2021-10-12,11132.6511852133,85.4745809594178,60.4701874694498,63.5957196272127,61.5023070155255
2021-10-13,11127.9148990438,85.4669719423047,60.4635386082675,63.5889503361841,61.5103348529644
2021-10-14,11123.0385422633,85.4602191375608,60.4572338556421,63.5825892178905,61.5186174512173
2021-10-15,11118.0296408458,85.4543094903831,60.4512713750813,63.5766330324204,61.5271525106387
2021-10-16,11112.8955107458,85.4492300172669,60.4456492421029,63.5710784718,61.5359376631507
2021-10-17,11107.643262528,85.4449678074729,60.4403654471315,63.5659221627108,61.5449704748193
2021-10-18,11102.2798059133,85.441510024443,60.4354178983599,63.5611606691709,61.5542484484009
2021-10-19,11096.8118542348,85.4388439071618,60.4308044245701,63.5567904951726,61.563769025859
2021-10-20,11091.2459288128,85.436956771469,60.4265227779159,63.5528080872816,61.5735295908489
2021-10-21,11085.5883632464,85.4358360113202,60.4225706366658,63.5492098371945,61.5835274711703
2021-10-22,11079.845307625,85.4354690999997,60.4189456079062,63.5459920842553,61.5937599411846
2021-10-23,11074.0227326536,85.4358435912844,60.4156452302015,63.5431511179284,61.6042242242
2021-10-24,11068.1264337069,85.4369471205608,60.4126669762155,63.5406831802321,61.6149174948189
2021-10-25,11062.1620348019,85.4387674058968,60.4100082552904,63.5385844681284,61.6258368812498
2021-10-26,11056.1349924831,85.4412922490647,60.4076664159783,63.5368511358663,61.6369794675858
2021-10-27,11050.0505996468,85.4445095365241,60.4056387485371,63.5354792972886,61.6483422960413
2021-10-28,11043.9139892891,85.4484072403595,60.4039224873839,63.534465028095,61.659922369152
2021-10-29,11037.7301381675,85.4529734191745,60.4025148134989,63.5338043680576,61.6717166519392
2021-10-30,11031.5038704059,85.4581962189452,60.4014128567937,63.5334933231998,61.6837220740335
2021-10-31,11025.2398610174,85.464063873833,60.4006136984318,63.5335278679275,61.6959355317599
2021-11-01,11018.9426393583,85.4705647069559,60.4001143731071,63.5339039471199,61.7083538901862
2021-11-02,11012.6165925226,85.4776871311226,60.399911871283,63.5346174781798,61.7209739851286
2021-11-03,11006.2659686565,85.485419649527,60.4000031413836,63.5356643530376,61.7337926251211
2021-11-04,10999.894880212,85.4937508564049,60.4003850919454,63.5370404401161,61.7468065933449
2021-11-05,10993.507307137,85.5026694376553,60.4010545937259,63.5387415862527,61.7600126495178
2021-11-06,10987.1070999924,85.5121641714235,60.4020084817671,63.5407636185784,61.7734075317461
2021-11-07,10980.6979830213,85.522223928652,60.4032435574232,63.5431023463599,61.7869879583337
2021-11-08,10974.283557138,85.532837673594,60.404756590339,63.5457535627951,61.8007506295574
2021-11-09,10967.8673028641,85.5439944642943,60.4065443203893,63.5487130467701,61.8146922293994
2021-11-10,10961.4525832075,85.5556834530385,60.4086034595789,63.5519765645779,61.828809427242
2021-11-11,10955.042646481,85.5678938867682,60.4109306939012,63.5555398715955,61.8430988795241
2021-11-12,10948.6406290574,85.5806151074658,60.4135226851528,63.5593987139212,61.8575572313586
2021-11-13,10942.2495580782,85.593836552508,60.4163760727133,63.5635488299739,61.8721811181118
2021-11-14,10935.8723540905,85.6075477549885,60.4194874752769,63.5679859520504,61.8869671669475
2021-11-15,10929.5118336436,85.6217383440126,60.4228534925521,63.5727058078478,61.9019119983299
2021-11-16,10923.1707118231,85.6363980449619,60.4264707069173,63.5777041219463,61.9170122274918
2021-11-17,10916.8516047398,85.651516679732,60.4303356850418,63.5829766172562,61.9322644658645
2021-11-18,10910.557031959,85.667084166942,60.4344449794653,63.5885190164265,61.9476653224716
2021-11-19,10904.2894188822,85.6830905221162,60.4387951301392,63.5943270432158,61.963211405288
