"Date","forecast_US_economic","forecast_US_economic_low_80","forecast_US_economic_high_80","forecast_US_economic_low_95","forecast_US_economic_high_95"
2021-10-08,87.2662410702948,70.6276835867712,103.904798553818,61.8197633013355,112.712718839254
2021-10-09,87.3617859898341,70.6957132964052,104.027858683263,61.8732273386916,112.850344640977
2021-10-10,87.4550577997691,70.76119601053,104.148919589008,61.9239993940983,112.98611620544
2021-10-11,87.5461159493455,70.8241949469744,104.268036951717,61.972144680352,113.120087218339
2021-10-12,87.6350189080659,70.8847729690068,104.385264847125,62.0177283866402,113.252309429492
2021-10-13,87.721824157922,70.9429925265758,104.500655789268,62.0608155927886,113.382832723055
2021-10-14,87.8065881870603,70.9989156008547,104.614260773266,62.101471187804,113.511705186317
2021-10-15,87.8893664848087,71.0526036520431,104.726129317574,62.1397597926739,113.638973176943
2021-10-16,87.9702135379997,71.1041175703672,104.836309505632,62.1757456873767,113.764681388623
2021-10-17,88.0491828285238,71.1535176302219,104.944848026826,62.2094927420417,113.888872915006
2021-10-18,88.1263268320541,71.2008634473905,105.051790216718,62.2410643521983,114.01158931191
2021-10-19,88.2016970178765,71.2462139392682,105.157180096485,62.2705233780328,114.13287065772
2021-10-20,88.275343849772,71.2896272880221,105.261060411522,62.2979320875789,114.252755611965
2021-10-21,88.3473167878923,71.3311609066058,105.363472669179,62.3233521037493,114.371281472035
2021-10-22,88.4176642915739,71.3708714075518,105.464457175596,62.3468443551176,114.48848422803
2021-10-23,88.4864338230401,71.4088145744586,105.564053071622,62.3684690303523,114.604398615728
2021-10-24,88.5536718519369,71.4450453360851,105.662298367789,62.3882855361964,114.719058167677
2021-10-25,88.6194238606567,71.4796177429705,105.759229978343,62.4063524588918,114.832495262421
2021-10-26,88.6837343504022,71.5125849464885,105.854883754316,62.4227275289362,114.944741171868
2021-10-27,88.7466468479423,71.5439991802461,105.949294515639,62.4374675890582,115.055826106826
2021-10-28,88.8082039130192,71.5739117437398,106.042496082299,62.4506285653008,115.165779260738
2021-10-29,88.8684471463638,71.6023729881789,106.134521304549,62.4622654410967,115.274628851631
2021-10-30,88.9274171982763,71.6294323043823,106.22540209217,62.4724322342161,115.382402162337
2021-10-31,88.985153777738,71.655138112665,106.315169442811,62.4811819764755,115.489125579
2021-11-01,89.0416956620101,71.6795378546185,106.403853469402,62.4885666960855,115.594824627935
2021-11-02,89.0970807066895,71.7026779867008,106.491483426678,62.4946374025251,115.699524010854
2021-11-03,89.1513458561828,71.7246039755468,106.578087736819,62.4994440738244,115.803247638541
2021-11-04,89.2045271545673,71.7453602949131,106.663694014222,62.5030356461426,115.906018662992
2021-11-05,89.2566597568066,71.7649904241718,106.748329089441,62.5054600055276,116.007859508086
2021-11-06,89.3077779402895,71.7835368482699,106.832019032309,62.5067639817451,116.108791898834
2021-11-07,89.3579151166633,71.8010410590715,106.914789174255,62.5069933440677,116.208836889259
2021-11-08,89.4071038439347,71.8175435580063,106.996664129863,62.5061927989192,116.30801488895
2021-11-09,89.4553758388088,71.8330838599409,107.077667817677,62.5044059892634,116.406345688354
